,number,value,duration,params_Filter,params_Kernel,system_attrs_grid_id,system_attrs_search_space,ID_G,ID_MSE,OD_G,OD_MSE
24,24,0.83472025,0 days 00:02:17.326407,11,11,40,"OrderedDict([('Filter', [8, 9, 10, 11, 12, 13, 14]), ('Kernel', [4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14])])",0.723947353,0.001471276,0.83472025,0.007980909
25,25,0.613124937,0 days 00:03:00.921306,12,13,53,"OrderedDict([('Filter', [8, 9, 10, 11, 12, 13, 14]), ('Kernel', [4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14])])",0.742699876,0.001293222,0.613124937,0.007615363
26,26,0.898785437,0 days 00:02:24.719349,10,13,31,"OrderedDict([('Filter', [8, 9, 10, 11, 12, 13, 14]), ('Kernel', [4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14])])",0.994782421,0.001433061,0.898785437,0.008267038
27,27,0.781310062,0 days 00:01:34.386152,8,10,6,"OrderedDict([('Filter', [8, 9, 10, 11, 12, 13, 14]), ('Kernel', [4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14])])",0.689015921,0.002435103,0.781310062,0.010144478
28,28,0.422446,0 days 00:01:25.992495,8,8,4,"OrderedDict([('Filter', [8, 9, 10, 11, 12, 13, 14]), ('Kernel', [4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14])])",0.4262,0.002434442,0.422446,0.009800387
29,29,0.678649188,0 days 00:01:53.056491,11,9,38,"OrderedDict([('Filter', [8, 9, 10, 11, 12, 13, 14]), ('Kernel', [4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14])])",0.789848088,0.001626558,0.678649188,0.008312351
30,30,0.625002188,0 days 00:02:56.810343,13,11,62,"OrderedDict([('Filter', [8, 9, 10, 11, 12, 13, 14]), ('Kernel', [4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14])])",0.734193386,0.001376784,0.625002188,0.007998285
31,31,0.767722,0 days 00:02:08.828687,13,8,59,"OrderedDict([('Filter', [8, 9, 10, 11, 12, 13, 14]), ('Kernel', [4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14])])",0.824343074,0.001560667,0.767722,0.008083634
32,32,0.836507,0 days 00:01:41.614323,12,6,46,"OrderedDict([('Filter', [8, 9, 10, 11, 12, 13, 14]), ('Kernel', [4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14])])",0.9046,0.002357926,0.836507,0.009835418
33,33,0.748329125,0 days 00:01:31.538110,9,7,14,"OrderedDict([('Filter', [8, 9, 10, 11, 12, 13, 14]), ('Kernel', [4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14])])",0.977337441,0.003337046,0.748329125,0.010850488
